step,loss,lr,tokens_per_sec,elapsed_sec
1,10.94029164,3.00E-04,17964.45,1.03
50,6.1462009,3.00E-04,3465.15,265.96
100,5.47237706,3.00E-04,5311.22,347.04
150,5.02310038,3.00E-04,6461.98,427.86
200,4.84819126,3.00E-04,7599.46,485.09
250,4.62668514,3.00E-04,8457.69,544.83
300,4.74263823,3.00E-04,9456.04,584.77
350,4.35498381,3.00E-04,10253.81,629.15
400,4.21055746,3.00E-04,10963.42,672.49
450,4.24028563,3.00E-04,11428.2,725.78
500,4.040066,3.00E-04,12085.07,762.59
550,3.8538729,3.00E-04,12564.25,806.86
600,4.06791151,3.00E-04,12825.46,862.29
650,3.80168879,3.00E-04,13204.86,907.3
700,3.58244538,3.00E-04,13417.16,961.63
750,3.45995212,3.00E-04,13759.78,1004.67
800,3.34926796,3.00E-04,14075.34,1047.62
850,3.43567646,3.00E-04,14178.89,1104.97
900,3.10603976,3.00E-04,14299.66,1160.08
950,2.80954504,3.00E-04,14549.71,1203.49
1000,2.96414769,3.00E-04,14779.85,1247.1
1050,2.7225877,3.00E-04,14703.34,1316.27
1100,2.35355586,3.00E-04,14691.03,1380.11
1150,2.44503236,3.00E-04,14776.06,1434.54
1200,2.28103334,3.00E-04,14974.68,1477.05
1250,2.14483911,3.00E-04,15045.38,1531.37
1300,1.86124367,3.00E-04,15253.26,1570.92
1350,1.79356694,3.00E-04,15425.28,1613.14
1400,1.87547344,3.00E-04,15589.02,1655.32
1450,1.63545609,3.00E-04,15769.17,1694.85
1500,1.29873294,3.00E-04,15888.15,1740.16
1550,1.3144635,3.00E-04,15925.96,1793.9
1600,1.1154497,3.00E-04,15993.81,1843.91
1650,0.7359993,3.00E-04,15966.1,1904.84
1700,0.75864756,3.00E-04,15828.71,1979.59
1750,0.61893673,3.00E-04,15908.93,2027.54
1800,0.56637013,3.00E-04,15977.75,2076.49
1850,0.38290484,3.00E-04,16114.48,2116.06
1900,0.28330658,3.00E-04,16126.01,2171.7
1950,0.2117525,3.00E-04,16101.29,2232.27
2000,0.21366903,3.00E-04,16092.88,2290.7
2050,0.13885933,3.00E-04,15924.25,2372.83
2100,0.13929674,3.00E-04,16040.36,2413.11
2130,0.08986,3.00E-04,15982.3,2290.7
